PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic,
-9.816353708,0.914801796,-19.34171523,25648.70259,-73.51495581,-21.77669449,-6.309189939,-54.88796048,-2.804090048,-24.94840271,
-11.02214146,-4.350923869,-26.76737933,25748.50299,-72.31659479,-23.0922814,-5.485026053,-52.91521983,-0.678497585,-27.08053371,
4.466916335,-3.068743576,-16.46979334,25848.30339,-69.25751378,-26.245981,-4.274914241,-44.83461926,-3.562918998,-25.51248337,
-3.11397966,-0.457784622,-19.93791652,25948.10379,-78.71114399,-23.82555256,-8.643391447,-52.46266611,-2.674937951,-30.81902967,
-12.20163431,5.105896077,-14.30552114,26047.90419,-72.36553717,-29.55871517,-7.493597798,-50.35812267,-2.690248359,-22.1838367,
-2.245357219,-7.122134213,-16.66014904,26147.70459,-71.35536848,-27.8130602,-4.532129836,-48.37655239,-1.911018696,-25.9446422,
-11.20081453,-6.214827633,-10.96625045,26247.50499,-69.8813087,-21.61818301,-8.959362155,-50.4537996,-2.091062939,-30.82508155,
-10.40900076,-6.006470258,-15.41207126,26347.30539,-82.10364379,-21.02402108,-0.443650083,-57.26379404,-3.616690501,-31.77417346,
-5.537888557,-10.34099441,-17.88623521,26447.10579,-75.218572,-18.32746555,-4.128503537,-46.89846754,-1.330667683,-39.14831089,
-14.68300594,-2.254736211,-22.00416647,26546.90619,-73.49670101,-22.21405466,-8.005609849,-48.51837265,-2.773491424,-34.26940807,
-7.862886733,-5.643609718,-13.64952862,26646.70659,-76.41233847,-12.76033974,-7.10596298,-46.15092382,-1.589135489,-22.86929532,
-5.750977948,-1.564189729,-12.627567,26746.50699,-78.04638783,-18.53368616,-4.394959572,-48.63122964,-2.417491274,-28.65731323,
-10.73825129,4.624998564,-11.42583107,26846.30739,-72.74544543,-21.94457841,-4.767384959,-44.64173907,-3.343571768,-25.42341413,
-11.52684767,-3.232009106,-28.57575589,26946.10778,-73.53238184,-16.56952852,-4.743325531,-46.64114757,-1.946937095,-26.14648384,
-16.70956128,-1.292421651,-12.69331572,27045.90818,-82.45401197,-18.64725223,-5.971397029,-46.63048091,-2.001226117,-36.01817451,
-20.06555806,2.65019159,-15.93612431,27145.70858,-83.39171826,-21.65688316,-7.960201122,-52.84224884,-0.100092808,-28.4258202,
-18.80317044,7.575976516,-18.61809145,27245.50898,-91.76605837,-26.7167657,-7.080742083,-49.65492661,-0.926203204,-39.59335689,
-18.8204605,0.411942413,-19.57551497,27345.30938,-74.2944512,-17.84653312,-6.622232049,-55.3508197,-2.109209952,-27.30822581,
-8.741101965,1.076386779,-14.45099091,27445.10978,-85.64874238,-22.12476411,-6.321822423,-53.90001665,-2.282446053,-32.02782337,
-6.749470805,9.647590363,-18.15858124,27544.91018,-72.89542565,-22.65631805,-5.810096454,-51.13695272,-0.978706125,-36.51753937,
-12.00789052,10.64362075,-10.38758248,27644.71058,-84.41651365,-24.83342831,-3.663766823,-62.18074225,-1.247169835,-33.18109457,
-5.399938571,6.170979441,-6.611419129,27744.51098,-80.22497093,-12.86792069,-5.830876307,-52.28343425,-3.220560102,-29.01266258,
-19.19822368,9.407392821,-11.96557997,27844.31138,-73.67314288,-10.00470237,-2.742462088,-45.52010732,-0.318497187,-24.9374335,
-18.34867655,17.78114024,-11.23648335,27944.11178,-76.99119438,-20.17451448,-1.848374221,-50.01217148,-0.695705138,-39.35885362,
-6.734128294,16.72508274,-12.86990586,28043.91218,-68.00303783,-22.68047798,-9.629526182,-53.94581128,-1.359548709,-27.93106696,
-8.754405351,8.52016436,-13.15529588,28143.71257,-83.17739487,-6.640580437,-6.344495551,-49.86151515,-0.322842152,-25.40629083,
-14.25227944,14.87964626,-9.029872255,28243.51297,-76.99552803,-19.92461501,-5.924404082,-49.76160281,-2.039575864,-25.91898296,
-15.01797791,18.1333052,-6.141653837,28343.31337,-75.04429767,-22.88552077,-1.905721428,-60.95872169,-1.060992501,-36.22190922,
-10.20506544,13.72659027,-6.854946828,28443.11377,-73.33219438,-22.76537253,-4.462423788,-53.66901111,-3.839717981,-36.0733498,
-9.438290636,17.41981431,-2.184180473,28542.91417,-74.7920703,-29.80983788,-5.756007085,-57.37858916,-1.46289444,-21.90055162,
-4.626224054,7.961844908,-13.68029272,28642.71457,-75.13000449,-19.72276752,-3.036878113,-41.03288752,-1.737162349,-22.62470732,
-10.89565504,11.85710075,-13.28905998,28742.51497,-71.08066474,-25.58497865,-6.59095266,-40.63352625,-2.502854767,-28.54968127,
-5.806992162,17.80263318,-2.806883838,28842.31537,-83.24390095,-28.9370696,-3.355281666,-45.22289963,-1.704419878,-21.49582633,
-8.438388378,21.70993628,-2.924435815,28942.11577,-70.31035444,-17.90736708,-8.022106847,-44.24814061,-1.596277821,-24.42968947,
-0.07457898,8.04056958,-9.511745832,29041.91617,-80.25433047,-20.60526554,-8.429701393,-47.47704779,-0.835526657,-33.61766965,
-9.345565411,11.01370351,-7.770096918,29141.71657,-74.09578446,-18.67008959,-5.886426869,-54.97138073,-2.009753128,-31.92065825,
-2.445513164,15.44641564,-9.901378117,29241.51697,-75.57795807,-18.36033364,-5.532493307,-52.97088648,0.235763111,-32.05911677,
5.304618167,7.427505585,-9.129728006,29341.31737,-80.6597758,-21.15604477,-4.828308921,-54.40154603,-2.038573334,-35.05299536,
-1.217231574,12.25641661,-3.402251245,29441.11776,-78.42341129,-12.78668007,-1.959033839,-56.22528688,-0.67430983,-29.62325915,
-12.40988427,5.262931759,-10.14626121,29540.91816,-77.26860963,-23.0125737,-6.072383072,-49.43388285,-2.024962233,-40.82419438,
-4.783316852,0.561127005,-15.71220002,29640.71856,-74.09935926,-25.84581032,-4.221927685,-47.15434051,-0.838609323,-24.1095823,
-16.01790215,10.64070769,-13.40199018,29740.51896,-77.18595027,-21.16232772,-4.934747056,-56.78284943,-1.226045437,-20.52217378,
0.496847442,0.990100035,-13.70119675,29840.31936,-83.19489669,-21.02639419,-5.558517795,-47.7421691,-1.817771857,-31.27982363,
-7.440092898,13.30309658,-3.943084806,29940.11976,-71.33434472,-24.65118337,-6.009522657,-56.17606545,-1.859519162,-41.4563753,
-9.88852406,-0.653172362,-13.00212067,30039.92016,-71.206673,-13.83778311,-4.186718161,-42.2480305,-2.748684374,-26.44277154,
0.127537694,-1.700140176,-17.92425836,30139.72056,-72.98865034,-16.68443458,-5.349378314,-52.47598937,-1.835093255,-32.77057962,
-7.818219089,4.447508894,-13.18407835,30239.52096,-70.62442659,-14.1967838,-4.670416717,-53.15858055,-2.669347904,-39.70608397,
-4.49760715,0.081673224,-19.16915613,30339.32136,-78.74327978,-25.65888384,-7.264904241,-55.34606413,-0.301823731,-35.70585073,
-7.771910647,-1.813704622,-16.53530236,30439.12176,-84.87450502,-22.98304452,-2.440882379,-49.23710503,-0.633333992,-31.36090782,
-9.107023305,5.577483153,-19.42731346,30538.92216,-74.95429684,-18.52886327,-7.13264225,-50.25328684,-2.02172431,-23.66925338,
-7.762588221,-0.748599521,-17.24961,30638.72255,-71.8760158,-16.845441,0.348686149,-57.6172103,-2.790113945,-30.76021213,
-11.15466654,1.325334565,-12.32560084,30738.52295,-73.06275817,-14.48318257,-5.456717471,-53.42955699,-2.641958335,-32.73698381,
-17.25289894,-1.189913142,-19.29910152,30838.32335,-73.47926486,-18.42305334,-6.921738709,-46.48288638,-1.36039149,-35.41811346,
-6.658988724,2.817209396,-11.89960289,30938.12375,-66.05402533,-20.98307412,-4.704905254,-58.99935462,-2.32447833,-29.55171357,
-8.309609615,4.433683798,-13.00908519,31037.92415,-77.76814398,-14.59090034,-5.472057841,-42.76633556,-2.026549411,-31.36299589,
